1,I caught a glimpse of the phantom sitting behind the wheel.,"The Phantom slowly, gravely, silently, approached.",The phantom was gone.
2,This is an opera in five acts.,This opera has three acts.,The opera singer held a charity concert of his own accord.
3,The money was hidden beneath the floorboards.,The ice will crack beneath our weight.,It is beneath my dignity to ask a favor.
4,The man wore a mask of a tiger.,"The man began to take off his hat, glasses and mask.",He wore a mask so that no one could recognize him.
5,The bridge couldn't sustain the force of the strong current and collapsed.,Nothing can force me to give it up.,Gravity is the natural force by which objects are attracted to each other.
6,Maybe I'll just wander off on my own.,Let's just wander and see where it takes us.,You had better not wander around here by yourself.
7,A hideous monster used to live there.,Rex was a monster of a dog.,A monster was believed to live in the cave.
8,Role-playing video games are time consuming.,Mary played the role of an old woman in the play.,Part-time workers play an important role in the development of the economy.
9,Fat people are hard to kidnap.,Why would anybody kidnap Tom?,Where did you kidnap them?
10,The audience acclaimed the actors for their performance.,The excited audience ran into the concert hall.,The audience was excited at the game.
11,Try to hold on until a rescue team arrives.,"The rescue worker searched the area, looking for the child.",He was still alive when the rescue party arrived.
12,The capture of the prince by the king led to another war.,I go to bed early so I can get up to capture the sunrise.,"To be honest, we came to capture you."
13,Why is life so full of suffering?,Passion creates suffering.,We are suffering from a severe water shortage this summer.
14,Cleanse me! Release me! Set me free!,John Tel is expected to delay the release of its chip set until August.,Is death the only release?
15,Give me a lift in your car.,We can lift the restrictions on imports once the joint agreement is signed.,Yoshio helped me lift the box up.
16,,,
17,Originally the meeting was planned for next Saturday.,This poem was originally written in French.,Originally they were farmers.
18,"If I were to be born again, I would be a musician.",The musician shook his head and pushed his little piano away.,A musician can appreciate small differences in sounds.
19,,,
20,Maria's late husband was a violinist.,The violinist waits for the signal to play.,The violinist has excellent technique.
21,An elevated seaside bike path collapsed in Rio.,Two persons were killed when an elevated bike path collapsed in Rio.,The patient had elevated levels of N-acetyl-p-benzoquinone imine.
22,Machinery uses a lot of electricity.,Machinery dispenses with much labor.,Machinery robs work of creative interest.
23,We happened to see a truck run into the guard-rail.,The town is accessible by rail.,The cost of the air fare is higher than of the rail fare.
24,How on earth can we restore our youth?,Peace-keeping troops moved in to restore calm after the battle.,We are currently working to restore normal service as soon as possible.
25,Go back to your seat.,The paint on the seat on which you are sitting is still wet.,Is there a vacant seat?
26,The orchestra makes discordant noises when tuning up.,The orchestra struck up nostalgic music.,I'm going to join the school orchestra.
27,The charm of Kyoto consists of the beauty of its old temples.,The artist captured the charm of the lady.,Music has a charm that soothes even the savage's breast.
