1,"n. 幽灵；幻影；虚位
adj. 幽灵的；幻觉的；有名无实的"
2,n. 歌剧；歌剧院；歌剧团
3,"prep. 在…之下
adv. 在下方"
4,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
5,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
6,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
7,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
8,n. 角色；任务
9,vt. 绑架；诱拐；拐骗
10,n. 观众；听众；读者；接见；正式会见；拜会
11,"n. 营救；援救；解救
vt. 营救；援救"
12,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
13,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
14,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
15,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
16,n.  公吨（1，000公斤，等于metric ton）
17,adv. 最初，起初；本来
18,n. 音乐家
19,n. 大提琴演奏家
20,n. 小提琴演奏者，小提琴家
21,"n. 高架铁路
adj. 提高的；高尚的；严肃的；欢欣的
v. 提高；抬起；振奋；提拔（elevate的过去分词）"
22,n. 机械；机器；机构；机械装置
23,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
24,"vi. 恢复；还原
vt. 恢复；修复；归还"
25,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
26,n. 管弦乐队；乐队演奏处
27,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
28,n. 天才，天赋；精神
29,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
30,n. 作用；工作方式；操作（working的复数）
31,n. 宇宙；世界；领域
32,adj. 原子能的； 细胞核的；中心的；原子核的
33,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
34,n. 好奇，好奇心；珍品，古董，古玩
35,n. 名声，名誉；声望
36,n. 理论；原理；学说；推测
37,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
38,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
39,n. 平台；月台，站台；坛；讲台
40,adv. 完美地；完全地；无瑕疵地
41,n. 欢呼，喝采；鼓掌欢迎
42,"n. 复合体；综合设施
adj. 复杂的；合成的"
43,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
44,n. 性质，性能；财产；所有权
45,"n. 价值；财产
adj. 值…的"
46,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
47,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
48,"n. 奖品；判决
vt. 授予；判定"
49,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
50,n. 发现，发觉；被发现的事物
51,n. 生理学；生理机能
52,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
53,n. 文学；文献；文艺；著作
54,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
55,n. 周年纪念日
56,n. 典礼，仪式；礼节，礼仪；客套，虚礼
57,n. 斯德哥尔摩（瑞典首都）
58,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
59,n. 勋章，奖章；纪念章
60,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
61,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
62,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
63,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
64,n. 厘米；公分
65,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
66,n. 莲花（汽车品牌）
67,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
68,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
69,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
70,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
71,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
72,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
73,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
74,adj. 庞大的，巨大的；凶暴的，极恶的
75,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
76,n. 长寿，长命；寿命
77,n. 内华达（美国州名）
78,n. 园艺；园林工人的工作
